assists,evGoals,evPoints,faceoffWinPct,gameWinningGoals,gamesPlayed,goals,lastName,otGoals,penaltyMinutes,playerId,plusMinus,points,pointsPerGame,positionCode,ppGoals,ppPoints,shGoals,shPoints,shootingPct,shootsCatches,shots,skaterFullName,timeOnIcePerGame
66,10.0,59.0,,2,280,14,Affleck,0,86,8444905,-82.0,80,0.28571,D,4.0,18.0,0.0,3.0,0.03804,L,368.0,Bruce Affleck,
30,24.0,44.0,,6,146,31,Ahern,0,130,8444908,-47.0,61,0.4178,R,7.0,17.0,0.0,0.0,0.12601,R,246.0,Fred Ahern,
3,3.0,6.0,,0,15,3,Alley,0,11,8444912,-3.0,6,0.4,L,0.0,0.0,0.0,0.0,0.2,L,15.0,Steve Alley,
93,55.0,131.0,,5,238,64,Allison,0,223,8444913,50.0,157,0.65966,R,9.0,26.0,0.0,0.0,0.14065,R,455.0,Ray Allison,
166,79.0,209.0,,12,499,102,Allison,0,630,8444914,32.0,268,0.53707,R,19.0,50.0,4.0,9.0,0.18279,R,558.0,Mike Allison,
0,0.0,0.0,,0,3,0,Allison,0,12,8444917,-3.0,0,0.0,D,0.0,0.0,0.0,0.0,0.0,R,2.0,Dave Allison,
3,1.0,4.0,,0,14,1,Aitken,0,25,8444918,-2.0,4,0.28571,L,0.0,0.0,0.0,0.0,0.14285,L,7.0,Brad Aitken,
211,25.0,151.0,0.0,8,952,44,Albelin,2,417,8444919,52.0,255,0.26785,D,16.0,95.0,3.0,9.0,0.03869,L,1137.0,Tommy Albelin,
0,0.0,0.0,,0,19,0,Amodeo,0,2,8444923,-15.0,0,0.0,D,0.0,0.0,0.0,0.0,0.0,L,14.0,Mike Amodeo,
2,1.0,3.0,,0,7,1,Anderson,0,2,8444924,-2.0,3,0.42857,L,0.0,0.0,0.0,0.0,0.05,L,20.0,Jim Anderson,
1,0.0,1.0,,0,40,0,Anderson,0,68,8444926,-40.0,1,0.025,D,0.0,0.0,0.0,0.0,0.0,L,23.0,Murray Anderson,
30,26.0,54.0,,3,251,28,Anderson,0,146,8444928,-29.0,58,0.23107,R,1.0,3.0,1.0,1.0,0.07486,R,374.0,Ron Anderson,
7,5.0,12.0,,0,28,9,Anderson,0,8,8444929,-20.0,16,0.57142,R,4.0,4.0,0.0,0.0,0.2093,R,43.0,Ron Anderson,
127,52.0,152.0,,9,316,62,Anderson,5,194,8444931,,189,0.5981,L,8.0,33.0,2.0,4.0,,L,,Tom Anderson,
49,18.0,38.0,,5,150,31,Andrea,0,10,8444934,-37.0,80,0.53333,R,13.0,42.0,0.0,0.0,0.12062,L,257.0,Paul Andrea,
5,,,,3,54,8,Andrews,0,12,8444936,,13,0.24074,L,,,,,,L,,Lloyd Andrews,
103,59.0,146.0,,14,456,72,Andersson,1,78,8444943,-10.0,175,0.38377,R,7.0,14.0,6.0,15.0,0.11338,R,635.0,Kent-Erik Andersson,
349,201.0,420.0,,41,814,282,Anderson,1,261,8444944,3.0,631,0.77518,R,76.0,203.0,5.0,8.0,0.14085,L,2002.0,John Anderson,
601,334.0,762.0,,85,1129,498,Anderson,5,1120,8444945,201.0,1099,0.97342,R,151.0,317.0,13.0,20.0,0.16018,L,3109.0,Glenn Anderson,
59,46.0,101.0,,4,400,50,Anderson,0,1051,8444947,-53.0,109,0.2725,L,4.0,8.0,0.0,0.0,0.12224,L,409.0,Perry Anderson,
